"Id","Tipo ID","Número ID","Primer Nombre","Segundo Nombre","Primer Apellido","Segundo Apellido","Email","Teléfono","Usuario","Password"
"2","valor_tipo_id","valor_numero_id","valor_primer_nombre","valor_segundo_nombre","valor_primer_apellido","valor_segundo_apellido","valor_email","valor_telefono","valor_usuario","valor_password"
"3","cc","1144174088","Juan","Esteban","Silva","Morales","jaun@gmail.com","316852","jesilva","Juan.1994"
"4","cc","16333","José","Esteban","Silva","Tovar","jaun@gmail.com","316852","jesilvam","Juan.1994"
"6","cc","16333","José","Esteban","Silva","Tovar","jaun@gmail.com","316852","jesilva","Juan.1994"
"7","cc","16333","José","Esteban","Silva","Tovar","jaun@gmail.com","316852","jesilva","Juan.1994"
"8",,"16333","José","Esteban","Silva","Tovar","jaun@gmail.com","316852","jesilva","Juan.1994"
"9",,"16333","José","Esteban","Silva","Tovar","jaun@gmail.com","316852","jesilva","Juan.1994"
"10",,"16333hh","José","Esteban","Silva","Tovar","jaun@gmail.com","316852","jesilva","Juan.1994"
"11",,"16333hh","José","Esteban","Silva","Tovar","jaunm","316852","jesilva","Juan.1994"
"12","cc","123","José","Esteban","Silva","Tovar","jaunm@co.cp",,"jesilva","Juan.1994"
"13","cc","123","José","Esteban","Silva","Tovar","jaunm@co.cp","1234567890","jesilva","Juan.1994"
